name,latitude,longitude,street,city,state,zip_code,phone,open_hours,style_url,description
Grocery Outlet,36.5509593,-119.3951185,667 N Alta Avenue,Dinuba,CA,93618,559-315-7109,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 36.5509593<br>Longitude: -119.3951185<br>Street: 667 N Alta Avenue<br>City: Dinuba<br>State: CA<br>Zip_Code: 93618<br>Phone: 559-315-7109<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,37.7087207,-122.4057494,2630 Bayshore Boulevard,San Francisco,CA,94134,415-715-1030,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 37.7087207<br>Longitude: -122.4057494<br>Street: 2630 Bayshore Boulevard<br>City: San Francisco<br>State: CA<br>Zip_Code: 94134<br>Phone: 415-715-1030<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,37.974244,-122.037764,1840 Willow Pass Road,Concord,CA,94520,925-363-3421,monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9,#icon-1685-A52714,Latitude: 37.974244<br>Longitude: -122.037764<br>Street: 1840 Willow Pass Road<br>City: Concord<br>State: CA<br>Zip_Code: 94520<br>Phone: 925-363-3421<br>Open Hours: monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9
Grocery Outlet,47.363544,-122.021417,26525 Maple Valley Blk Diamond Road Se,Maple Valley,WA,98038,425-413-0244,monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9,#icon-1685-A52714,Latitude: 47.363544<br>Longitude: -122.021417<br>Street: 26525 Maple Valley Blk Diamond Road Se<br>City: Maple Valley<br>State: WA<br>Zip_Code: 98038<br>Phone: 425-413-0244<br>Open Hours: monday - friday:  8-9 | saturday:  8-9 | sunday:  8-9
Grocery Outlet,44.25234077,-121.18551741,1619 Sw Odem Medo Road,Redmond,OR,97756,541-548-1662,monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 8pm,#icon-1685-A52714,Latitude: 44.25234077<br>Longitude: -121.18551741<br>Street: 1619 Sw Odem Medo Road<br>City: Redmond<br>State: OR<br>Zip_Code: 97756<br>Phone: 541-548-1662<br>Open Hours: monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 8pm
Grocery Outlet,42.43487,-123.298,350 Ne Agness Avenue,Grants Pass,OR,97526,541-476-2245,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 42.43487<br>Longitude: -123.298<br>Street: 350 Ne Agness Avenue<br>City: Grants Pass<br>State: OR<br>Zip_Code: 97526<br>Phone: 541-476-2245<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,38.5560766,-121.3347499,3615 Bradshaw Road Ste 3615a,Sacramento,CA,95827,916-368-9447,monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm,#icon-1685-A52714,Latitude: 38.5560766<br>Longitude: -121.3347499<br>Street: 3615 Bradshaw Road Ste 3615a<br>City: Sacramento<br>State: CA<br>Zip_Code: 95827<br>Phone: 916-368-9447<br>Open Hours: monday - friday:  7am - 10pm | saturday:  7am - 10pm | sunday:  7am - 10pm
Grocery Outlet,34.2306995,-118.3672967,8920 Glenoaks Blvd,Sun Valley,CA,91352,818-351-4100,monday - friday:  8am-10pm | saturday:  8am-10pm | sunday:  8am-10pm,#icon-1685-A52714,Latitude: 34.2306995<br>Longitude: -118.3672967<br>Street: 8920 Glenoaks Blvd<br>City: Sun Valley<br>State: CA<br>Zip_Code: 91352<br>Phone: 818-351-4100<br>Open Hours: monday - friday:  8am-10pm | saturday:  8am-10pm | sunday:  8am-10pm
Grocery Outlet,33.873429,-118.3737266,2115 Artesia Blvd,Redondo Beach,CA,90278,424-383-1018,monday - friday:  7am-10pm | saturday:  7am-10pm | sunday:  7am-10pm,#icon-1685-A52714,Latitude: 33.873429<br>Longitude: -118.3737266<br>Street: 2115 Artesia Blvd<br>City: Redondo Beach<br>State: CA<br>Zip_Code: 90278<br>Phone: 424-383-1018<br>Open Hours: monday - friday:  7am-10pm | saturday:  7am-10pm | sunday:  7am-10pm
Grocery Outlet,39.60300106,-75.80320099,801 East Pulaski Highway,Elkton,MD,21921,443-350-9136,monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 9pm,#icon-1685-A52714,Latitude: 39.60300106<br>Longitude: -75.80320099<br>Street: 801 East Pulaski Highway<br>City: Elkton<br>State: MD<br>Zip_Code: 21921<br>Phone: 443-350-9136<br>Open Hours: monday - friday:  7am - 9pm | saturday:  7am - 9pm | sunday:  7am - 9pm
Grocery Outlet,36.7061002,-121.65338158,1415 N Main Street,Salinas,CA,93906,831-442-3666,monday - friday:  8-10 | saturday:  8-10 | sunday:  8-10,#icon-1685-A52714,Latitude: 36.7061002<br>Longitude: -121.65338158<br>Street: 1415 N Main Street<br>City: Salinas<br>State: CA<br>Zip_Code: 93906<br>Phone: 831-442-3666<br>Open Hours: monday - friday:  8-10 | saturday:  8-10 | sunday:  8-10
Grocery Outlet,38.09884,-122.57106,1535 South Novato Boulevard,Novato,CA,94947,415-898-1779,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 38.09884<br>Longitude: -122.57106<br>Street: 1535 South Novato Boulevard<br>City: Novato<br>State: CA<br>Zip_Code: 94947<br>Phone: 415-898-1779<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,37.370573,-121.845562,331 North Capitol Ave Suite B,San Jose,CA,95133,408-684-5955,monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm,#icon-1685-A52714,Latitude: 37.370573<br>Longitude: -121.845562<br>Street: 331 North Capitol Ave Suite B<br>City: San Jose<br>State: CA<br>Zip_Code: 95133<br>Phone: 408-684-5955<br>Open Hours: monday - friday:  8am - 9pm | saturday:  8am - 9pm | sunday:  8am - 9pm
Grocery Outlet,38.099575,-122.25718,401 Marin St,Vallejo,CA,94590,707-648-7041,monday - friday:  8am-9pm | saturday:  8am-9pm | sunday:  8am-9pm,#icon-1685-A52714,Latitude: 38.099575<br>Longitude: -122.25718<br>Street: 401 Marin St<br>City: Vallejo<br>State: CA<br>Zip_Code: 94590<br>Phone: 707-648-7041<br>Open Hours: monday - friday:  8am-9pm | saturday:  8am-9pm | sunday:  8am-9pm
Grocery Outlet,40.57483,-122.35308,2235 Churn Creek Road,Redding,CA,96002,530-221-6138,monday - friday:  8-9 | saturday:  8-9 | sunday:  9-8,#icon-1685-A52714,Latitude: 40.57483<br>Longitude: -122.35308<br>Street: 2235 Churn Creek Road<br>City: Redding<br>State: CA<br>Zip_Code: 96002<br>Phone: 530-221-6138<br>Open Hours: monday - friday:  8-9 | saturday:  8-9 | sunday:  9-8
