"location_id","retailer","domain_name","banner","polaris_banner_name","operating_status","address","city","state","zip_code","country","timezone","local_page","distance_miles","pickup_available","dug_available","delivery_available","non_migrated_store","first_found_from_zip"
"1813","Carrs","Carrs","","carrsqc","ACTIVE","1501 Huffman Rd","Anchorage","AK","99515","US","America/Anchorage","https://local.carrsqc.com/ak/anchorage/1501-huffman-rd.html","7.59","True","True","True","False","99501"
"1805","Carrs","Carrs","","carrsqc","ACTIVE","1650 W Northern Lights Blvd","Anchorage","AK","99517","US","America/Anchorage","https://local.carrsqc.com/ak/anchorage/1650-w-northern-lights-blvd.html","2.76","True","True","True","False","99501"
"2628","Carrs","Carrs","","carrsqc","ACTIVE","1725 Abbott Rd","Anchorage","AK","99507","US","America/Anchorage","https://local.carrsqc.com/ak/anchorage/1725-abbott-rd.html","5.32","True","True","True","False","99501"
"720","Carrs","Carrs","","carrsqc","ACTIVE","2920 Seward Hwy","Anchorage","AK","99503","US","America/Anchorage","https://local.carrsqc.com/ak/anchorage/2920-seward-hwy.html","1.87","True","True","True","False","99501"
"1812","Carrs","Carrs","","carrsqc","ACTIVE","4000 W Dimond Blvd","Anchorage","AK","99502","US","America/Anchorage","https://local.carrsqc.com/ak/anchorage/4000-w-dimond-blvd.html","6.66","True","True","True","False","99501"
"1809","Carrs","Carrs","","carrsqc","ACTIVE","5600 Debarr Rd","Anchorage","AK","99504","US","America/Anchorage","https://local.carrsqc.com/ak/anchorage/5600-debarr-rd.html","2.55","True","True","True","False","99501"
"1817","Carrs","Carrs","","carrsqc","ACTIVE","7731 E Northern Lights Blvd","Anchorage","AK","99504","US","America/Anchorage","https://local.carrsqc.com/ak/anchorage/7731-e-northern-lights-blvd.html","4.1","True","True","True","False","99501"
"1807","Carrs","Carrs","","carrsqc","ACTIVE","11409 Business Park Blvd","Eagle River","AK","99577","US","America/Anchorage","https://local.carrsqc.com/ak/eagle-river/11409-business-park-blvd.html","11.77","True","True","True","False","99501"
"1739","Carrs","Carrs","","carrsqc","ACTIVE","664 E Palmer-Wasilla Hwy","Palmer","AK","99645","US","America/Anchorage","https://local.carrsqc.com/ak/palmer/664-e-palmer-wasilla-hwy.html","35.51","True","True","True","False","99501"
"1811","Carrs","Carrs","","carrsqc","ACTIVE","595 E Parks Hwy","Wasilla","AK","99654","US","America/Anchorage","https://local.carrsqc.com/ak/wasilla/595-e-parks-hwy.html","28.67","True","True","True","False","99501"
"1839","Eagle","Eagle","","carrsqc","ACTIVE","147 Hightower Rd","Girdwood","AK","99587","US","America/Anchorage","https://local.safeway.com/safeway/ak/girdwood/147-hightower-rd.html","29.79","True","True","False","False","99501"
"1835","Eagle","Eagle","","carrsqc","ACTIVE","415 Bering St","Nome","AK","99762","US","America/Anchorage","https://local.safeway.com/safeway/ak/nome/415-bering-st.html","503.46","True","True","False","False","99709"
"4819","Market Center","Market Center","","safeway","ACTIVE","210 Baranof St","Sitka","AK","99835","US","America/Anchorage","http://local.safeway.com/index.html","92.71","False","False","False","False","99801"
"3410","Safeway","Safeway","","safeway","ACTIVE","30 College Rd","Fairbanks","AK","99701","US","America/Anchorage","https://local.safeway.com/safeway/ak/fairbanks/30-college-rd.html","260.13","True","True","True","False","99501"
"2754","Safeway","Safeway","","safeway","ACTIVE","3627 Airport Way","Fairbanks","AK","99709","US","America/Anchorage","https://local.safeway.com/safeway/ak/fairbanks/3627-airport-way.html","258.21","True","True","True","False","99501"
"1832","Safeway","Safeway","","safeway","ACTIVE","90 Sterling Hwy","Homer","AK","99603","US","America/Anchorage","https://local.safeway.com/safeway/ak/homer/90-sterling-hwy.html","123.2","True","True","True","False","99501"
"1820","Safeway","Safeway","","safeway","ACTIVE","3033 Vintage Blvd","Juneau","AK","99801","US","America/Anchorage","https://local.safeway.com/safeway/ak/juneau/3033-vintage-blvd.html","7.94","True","True","True","False","99801"
"1808","Safeway","Safeway","","safeway","ACTIVE","10576 Kenai Spur Hwy","Kenai","AK","99611","US","America/Anchorage","https://local.safeway.com/safeway/ak/kenai/10576-kenai-spur-hwy.html","65.31","True","True","False","False","99501"
"1818","Safeway","Safeway","","safeway","ACTIVE","2417 Tongass Ave","Ketchikan","AK","99901","US","America/Anchorage","https://local.safeway.com/safeway/ak/ketchikan/2417-tongass-ave.html","229.19","True","True","False","False","99801"
"1090","Safeway","Safeway","","safeway","ACTIVE","2685 Mill Bay Rd","Kodiak","AK","99615","US","America/Anchorage","https://local.safeway.com/safeway/ak/kodiak/2685-mill-bay-rd.html","251.71","True","True","False","False","99501"
"1821","Safeway","Safeway","","safeway","ACTIVE","301 N Santa Claus Ln","North Pole","AK","99705","US","America/Anchorage","https://local.safeway.com/safeway/ak/north-pole/301-n-santa-claus-ln.html","256.98","True","True","True","False","99501"
"2728","Safeway","Safeway","","safeway","ACTIVE","1907 Seward Hwy","Seward","AK","99664","US","America/Anchorage","https://local.safeway.com/safeway/ak/seward/1907-seward-hwy.html","76.88","True","True","False","False","99501"
"548","Safeway","Safeway","","safeway","ACTIVE","44428 Sterling Hwy","Soldotna","AK","99669","US","America/Anchorage","https://local.safeway.com/safeway/ak/soldotna/44428-sterling-hwy.html","65.38","True","True","False","False","99501"
"1833","Safeway","Safeway","","safeway","ACTIVE","1313 Meals St","Valdez","AK","99686","US","America/Anchorage","https://local.safeway.com/safeway/ak/valdez/1313-meals-st.html","116.91","True","True","False","False","99501"
"4818","SeaMart","SeaMart","","safeway","ACTIVE","1867 Halibut Point Road","Sitka","AK","99835","US","America/Anchorage","http://local.safeway.com/index.html","92.23","True","True","False","False","99801"
"611","Albertsons","Albertsons","","albertsons","ACTIVE","3710 State Line Ave","Texarkana","AR","71854","US","America/Chicago","https://local.albertsons.com/ar/texarkana/3710-state-line-ave.html","9.06","True","True","True","False","71854"
"1221","Albertsons","Albertsons","","albertsons","ACTIVE","2935 E Riggs Rd","Chandler","AZ","85249","US","America/Phoenix","https://local.albertsons.com/az/chandler/2935-e-riggs-rd.html","15.04","True","True","True","False","85048"
"981","Albertsons","Albertsons","","albertsons","ACTIVE","3145 S Alma School Rd","Chandler","AZ","85248","US","America/Phoenix","https://local.albertsons.com/az/chandler/3145-s-alma-school-rd.html","8.65","True","True","True","False","85044"
"2997","Albertsons","Albertsons","","albertsons","ACTIVE","4060 W Ray Rd","Chandler","AZ","85226","US","America/Phoenix","https://local.albertsons.com/az/chandler/4060-w-ray-rd.html","8.04","True","True","True","False","85042"
"23","Albertsons","Albertsons","","albertsons","ACTIVE","861 E Warner Rd","Gilbert","AZ","85296","US","America/Phoenix","https://local.albertsons.com/az/gilbert/861-e-warner-rd.html","12.54","True","True","True","False","85044"
"3941","Albertsons","Albertsons","","albertsons","ACTIVE","5040 W Cactus Rd","Glendale","AZ","85304","US","America/Phoenix","https://local.albertsons.com/az/glendale/5040-w-cactus-rd.html","11.65","True","True","True","False","85001"
"3204","Albertsons","Albertsons","","albertsons","ACTIVE","1980 Mcculloch Blvd","Lake Havasu City","AZ","86403","US","America/Phoenix","https://local.albertsons.com/az/lake-havasu-city/1980-mcculloch-blvd.html","124.07","True","True","True","False","85364"
"3926","Albertsons","Albertsons","","albertsons","ACTIVE","12970 W Indian School Rd","Litchfield Park","AZ","85340","US","America/Phoenix","https://local.albertsons.com/az/litchfield-park/12970-w-indian-school-rd.html","146.19","True","True","True","False","85364"
"980","Albertsons","Albertsons","","albertsons","ACTIVE","1951 W Baseline Rd","Mesa","AZ","85202","US","America/Phoenix","https://local.albertsons.com/az/mesa/1951-w-baseline-rd.html","8.8","True","True","True","False","85251"
"3989","Albertsons","Albertsons","","albertsons","ACTIVE","2727 N Power Rd","Mesa","AZ","85215","US","America/Phoenix","https://local.albertsons.com/az/mesa/2727-n-power-rd.html","9.68","True","True","True","False","85201"
"958","Albertsons","Albertsons","","albertsons","ACTIVE","325 S Power Rd","Mesa","AZ","85206","US","America/Phoenix","https://local.albertsons.com/az/mesa/325-s-power-rd.html","9.52","True","True","True","False","85201"
"1948","Albertsons","Albertsons","","albertsons","ACTIVE","441 N Val Vista Dr","Mesa","AZ","85213","US","America/Phoenix","https://local.albertsons.com/az/mesa/441-n-val-vista-dr.html","9.67","True","True","True","False","85257"
"1002","Albertsons","Albertsons","","albertsons","ACTIVE","9243 E Baseline Rd","Mesa","AZ","85209","US","America/Phoenix","https://local.albertsons.com/az/mesa/9243-e-baseline-rd.html","9.3","True","True","True","False","85213"
"991","Albertsons","Albertsons","","albertsons","ACTIVE","8240 W Deer Valley Rd","Peoria","AZ","85382","US","America/Phoenix","https://local.albertsons.com/az/peoria/8240-w-deer-valley-rd.html","7.4","True","True","True","False","85304"
"1971","Albertsons","Albertsons","","albertsons","ACTIVE","8950 W Bell Rd","Peoria","AZ","85382","US","America/Phoenix","https://local.albertsons.com/az/peoria/8950-w-bell-rd.html","10.74","True","True","True","False","85021"
"2985","Albertsons","Albertsons","","albertsons","ACTIVE","18411 N Cave Creek Rd","Phoenix","AZ","85032","US","America/Phoenix","https://local.albertsons.com/az/phoenix/18411-n-cave-creek-rd.html","10.58","True","True","True","False","85013"
"25","Albertsons","Albertsons","","albertsons","ACTIVE","21001 N Tatum Blvd Suite 76","Phoenix","AZ","85050","US","America/Phoenix","https://local.albertsons.com/az/phoenix/21001-n-tatum-blvd-suite-76.html","9.33","True","True","True","False","85020"
"4","Albertsons","Albertsons","","albertsons","ACTIVE","3130 W Carefree Hwy","Phoenix","AZ","85086","US","America/Phoenix","https://local.albertsons.com/az/phoenix/3130-w-carefree-hwy.html","109.94","True","True","True","False","86001"
"2952","Albertsons","Albertsons","","albertsons","ACTIVE","8035 N 19th Ave","Phoenix","AZ","85021","US","America/Phoenix","https://local.albertsons.com/az/phoenix/8035-n-19th-ave.html","7.41","True","True","True","False","85001"
"197","Albertsons","Albertsons","","albertsons","ACTIVE","11475 E Via Linda","Scottsdale","AZ","85259","US","America/Phoenix","https://local.albertsons.com/az/scottsdale/11475-e-via-linda.html","8.07","True","True","True","False","85251"
"2955","Albertsons","Albertsons","","albertsons","ACTIVE","2785 N Scottsdale Rd","Scottsdale","AZ","85257","US","America/Phoenix","https://local.albertsons.com/az/scottsdale/2785-n-scottsdale-rd.html","8.66","True","True","True","False","85001"
"966","Albertsons","Albertsons","","albertsons","ACTIVE","6965 N Hayden Rd","Scottsdale","AZ","85250","US","America/Phoenix","https://local.albertsons.com/az/scottsdale/6965-n-hayden-rd.html","11.23","True","True","True","False","85001"
