"retailer","location_id","identifier","street_address","city","state","zip_code","country","latitude","longitude","phone"
"ALDI 130 Covington Mall","5873448","FP41","130 Covington Mall Drive","Andalusia","AL","36420","US","31.3162906","-86.4961575","+1 855-955-2534"
"ALDI 1617 South College Street","5767769","FF43","1617 South College Street","Auburn","AL","36832","US","32.5763561","-85.4964405","+1 855-955-2534"
"ALDI 30947 Mill Lane","6340826","FF76","30947 Mill Lane","Daphne","AL","36527","US","30.67567111","-87.85271611","+1 855-955-2534"
"ALDI 113 Simmsville Rd","5767528","L266","113 Simmsville Rd","Alabaster","Alabama","35007","US","33.240018","-86.815485","+1 855-955-2534"
"ALDI 1061 U.S. Hwy 280","5766227","FP06","1061 U.S. Hwy 280","Alexander City","Alabama","35010","US","32.92195","-85.9612","+1 855-955-2534"
"ALDI 5303 McClellan Blvd","5768326","L327","5303 McClellan Blvd","Anniston","Alabama","36206","US","33.714948","-85.81875","+1 855-955-2534"
"ALDI 115 US 72","5767872","L314","115 US 72","Athens","Alabama","35611","US","34.790527","-86.967968","+1 855-955-2534"
"ALDI 1617 South College Street","5873440","FP18","1617 South College Street","Auburn","Alabama","36832","US","32.57645","-85.4966","+1 855-955-2534"
"ALDI 2910 Morgan Road Suite 128","5767877","FM80","2910 Morgan Road Suite 128","Bessemer","Alabama","35022","US","33.33556","-86.91927","+1 855-955-2534"
"ALDI 710 Academy Dr","5767468","L259","710 Academy Dr","Bessemer","Alabama","35022","US","33.358984","-87.000026","+1 855-955-2534"
"ALDI 4639 Hwy 280","5768314","L300","4639 Hwy 280","Birmingham","Alabama","35242","US","33.42654","-86.702884","+1 855-955-2534"
"ALDI 520 Gene Reed Rd","5767486","L262","520 Gene Reed Rd","Birmingham","Alabama","35215","US","33.59821","-86.6943","+1 855-955-2534"
"ALDI 5485 Patrick Way","5767491","L263","5485 Patrick Way","Birmingham","Alabama","35235","US","33.610533","-86.623596","+1 855-955-2534"
"ALDI 7400 Crestwood Blvd","5767474","L261","7400 Crestwood Blvd","Birmingham","Alabama","35210","US","33.530445","-86.727346","+1 855-955-2534"
"ALDI 150 Chelsea Corners","5757815","FM85","150 Chelsea Corners","Chelsea","Alabama","35043","US","33.34642","-86.63082","+1 855-955-2534"
"ALDI 1831 Cherokee Ave SW","5767544","L267","1831 Cherokee Ave SW","Cullman","Alabama","35055","US","34.153472","-86.84209","+1 855-955-2534"
"ALDI 27060 US HWY 98","5768354","L987","27060 US HWY 98","Daphne","Alabama","36526","US","30.61957","-87.904294","+1 855-955-2534"
"ALDI 1413 Beltline Rd SW","5767962","L326","1413 Beltline Rd SW","Decatur","Alabama","35601","US","34.56383","-87.01017","+1 855-955-2534"
"ALDI 1151 Ross Clark CIR Suite 100","5873446","FP33","1151 Ross Clark CIR Suite 100","Dothan","Alabama","36301","US","31.21283","-85.36021","+1 855-955-2534"
"ALDI 1571 Westgate PKWY Suite 100","6036553","FP37","1571 Westgate Parkway","Dothan","Alabama","36303","US","31.2594","-85.4321573","+1 855-955-2534"
"ALDI 630 Boll Weevil Cir","5767082","FF88","630 Boll Weevil Cir","Enterprise","Alabama","36330","US","31.318615","-85.828626","+1 855-955-2534"
"ALDI 10101 County Rd 48","5768457","FE11","10101 County Rd 48","Fairhope","Alabama","36532","US","30.524012","-87.851543","+1 855-955-2534"
"ALDI 411 Cox Creek Pkwy","5767944","L324","411 Cox Creek Pkwy","Florence","Alabama","35630","US","34.84187","-87.63994","+1 855-955-2534"
"ALDI 130 E Pride Blvd","5768225","L989","130 E Pride Blvd","Foley","Alabama","36535","US","30.3809","-87.6824","+1 855-955-2534"
"ALDI 1601 Morris Ave","5767522","L265","1601 Morris Ave","Fultondale","Alabama","35068","US","33.608232","-86.80169","+1 855-955-2534"
