"retailer","store_id","store_name","address","address_line_2","full_address","city","state","zip_code","country","latitude","longitude","phone","location_type","location_subtype","region_code","time_zone","opening_date","has_gas","has_pharmacy","has_food_court","has_optical","has_hearing_aids","has_tire_center","services","source","source_url","retrieved_at"
"Costco","10","Anchorage","330 W DIMOND BLVD","","330 W DIMOND BLVD, ANCHORAGE, AK, 99515-1903","ANCHORAGE","AK","99515-1903","US","61.14348851","-149.884697","(907) 349-2335","Sales Location","Warehouse","NW","America/Anchorage","1984-10-25","True","True","True","True","True","True","AT&T Cellular Kiosk | Auto Buying Program | Bakery | Delivery | Diesel | Executive Membership | Food Court | Fresh Deli | Fresh Meat | Fresh Produce | Gas Station | Hearing Aids | Independent Optometrist | Membership | Optical Department | Pharmacy | Service Deli | Special Order Kiosk | Tire Service Center | Travel","Costco warehouse locator API","https://ecom-api.costco.com/core/warehouse-locator/v1/salesLocations.json","2026-07-31T21:17:07.0046552Z"
"Costco","1661","Anchorage Bus Ctr","1074 N MULDOON RD","","1074 N MULDOON RD, ANCHORAGE, AK, 99504-2073","ANCHORAGE","AK","99504-2073","US","61.229188","-149.737765","(907) 416-9780","Sales Location","Business Center","BD","America/Anchorage","2024-02-02","False","False","False","False","False","False","*General Information | Auto Buying Program | Business Delivery | Business Products | Delivery | Executive Membership | Fresh Meat | Fresh Produce | Membership | Restaurant & Hospitality Products | Restaurant Supplies | Tobacco","Costco warehouse locator API","https://ecom-api.costco.com/core/warehouse-locator/v1/salesLocations.json","2026-07-31T21:17:09.2543709Z"
"Costco","1699","Anchorage Home Showroom","8600 KING STREET","","8600 KING STREET, ANCHORAGE, AK, 99515-0000","ANCHORAGE","AK","99515-0000","US","61.14285","-149.88028","(907) 206-6265","Sales Location","Warehouse","HS","America/Anchorage","2024-04-12","False","False","False","False","False","False","","Costco warehouse locator API","https://ecom-api.costco.com/core/warehouse-locator/v1/salesLocations.json","2026-07-31T21:17:09.3019515Z"
"Costco","63","NE Anchorage","4125 DEBARR RD","","4125 DEBARR RD, ANCHORAGE, AK, 99508-3115","ANCHORAGE","AK","99508-3115","US","61.20968","-149.80429","(907) 269-9510","Sales Location","Warehouse","NW","America/Anchorage","1992-11-05","True","True","True","True","True","True","AT&T Cellular Kiosk | Auto Buying Program | Bakery | Delivery | Executive Membership | Food Court | Fresh Deli | Fresh Meat | Fresh Produce | Gas Station | Hearing Aids | Independent Optometrist | Membership | Optical Department | Pharmacy | Special Order Kiosk | Tire Service Center | Travel","Costco warehouse locator API","https://ecom-api.costco.com/core/warehouse-locator/v1/salesLocations.json","2026-07-31T21:17:07.0633546Z"
"Costco","1342","Fairbanks","48 COLLEGE RD","","48 COLLEGE RD, FAIRBANKS, AK, 99701-1706","FAIRBANKS","AK","99701-1706","US","64.85262358","-147.7076704","(907) 205-3607","Sales Location","Warehouse","NW","America/Anchorage","2018-11-20","True","True","True","True","True","True","AT&T Cellular Kiosk | Auto Buying Program | Bakery | Executive Membership | Food Court | Fresh Deli | Fresh Meat | Fresh Produce | Gas Station | Hearing Aids | Independent Optometrist | Membership | Optical Department | Pharmacy | Special Order Kiosk | Tire Service Center | Travel","Costco warehouse locator API","https://ecom-api.costco.com/core/warehouse-locator/v1/salesLocations.json","2026-07-31T21:17:09.0400736Z"
"Costco","107","Juneau","5225 COMMERCIAL BLVD","","5225 COMMERCIAL BLVD, JUNEAU, AK, 99801-7210","JUNEAU","AK","99801-7210","US","58.35898623","-134.4830148","(907) 780-6740","Sales Location","Warehouse","NW","America/Juneau","1993-11-04","False","True","True","True","True","True","A PS Processing | AT&T Cellular Kiosk | ATM | Executive Membership | Food Court | Fresh Deli | Fresh Meat | Fresh Produce | Hearing Aids | Membership | Optical Department | Pharmacy | Shipping Department | Tire Service Center | Window Fashions","Costco warehouse locator API","https://ecom-api.costco.com/core/warehouse-locator/v1/salesLocations.json","2026-07-31T21:17:07.1106855Z"
"Costco","362","Hoover","3650 GALLERIA CIR","","3650 GALLERIA CIR, HOOVER, AL, 35244-2346","HOOVER","AL","35244-2346","US","33.37875184","-86.81230735","(205) 909-1039","Sales Location","Warehouse","SE","America/Chicago","2003-11-20","True","True","True","True","True","True","Auto Buying Program | Bakery | Executive Membership | Food Court | Fresh Deli | Fresh Meat | Fresh Produce | Gas Station | Hearing Aids | Independent Optometrist | Membership | Optical Department | Pharmacy | Service Deli | Tire Service Center | T-Mobile Cellular Kiosk","Costco warehouse locator API","https://ecom-api.costco.com/core/warehouse-locator/v1/salesLocations.json","2026-07-31T21:17:07.5664272Z"
"Costco","356","Huntsville","1205 N. MEMORIAL PKWY","","1205 N. MEMORIAL PKWY, HUNTSVILLE, AL, 35801-5930","HUNTSVILLE","AL","35801-5930","US","34.74371841","-86.60264496","(256) 519-2220","Sales Location","Warehouse","SE","America/Chicago","2000-11-02","True","True","True","True","True","True","AT&T Cellular Kiosk | Auto Buying Program | Bakery | Executive Membership | Fine Wines and Liquor | Food Court | Fresh Deli | Fresh Meat | Fresh Produce | Gas Station | Hearing Aids | Independent Optometrist | Membership | Optical Department | Pharmacy | Pizza Kitchen | Rotisserie Chicken | Special Order Kiosk | Tire Service Center | Wheelchair Available","Costco warehouse locator API","https://ecom-api.costco.com/core/warehouse-locator/v1/salesLocations.json","2026-07-31T21:17:07.5498930Z"
"Costco","1712","Madison","8094 HIGHWAY 72 WEST","","8094 HIGHWAY 72 WEST, MADISON, AL, 35758-9567","MADISON","AL","35758-9567","US","34.752852","-86.753804","(938) 218-2913","Sales Location","Warehouse","SE","America/Chicago","2024-11-15","True","True","True","True","True","True","Food Court | Gas Station | Hearing Aids | Optical Department | Pharmacy | Tire Service Center | T-Mobile Cellular Kiosk","Costco warehouse locator API","https://ecom-api.costco.com/core/warehouse-locator/v1/salesLocations.json","2026-07-31T21:17:09.3122572Z"
"Costco","1192","Mobile","1450 TINGLE CIRCLE WEST","","1450 TINGLE CIRCLE WEST, MOBILE, AL, 36606-2632","MOBILE","AL","36606-2632","US","30.64876537","-88.11866753","(251) 308-7030","Sales Location","Warehouse","SE","America/Chicago","2015-06-04","True","True","True","True","True","True","AT&T Cellular Kiosk | Auto Buying Program | Bakery | Executive Membership | Food Court | Fresh Deli | Fresh Meat | Fresh Produce | Gas Station | Hearing Aids | Independent Optometrist | Membership | Optical Department | Pharmacy | Propane | Rotisserie Chicken | Service Deli | Special Order Kiosk | Tire Service Center","Costco warehouse locator API","https://ecom-api.costco.com/core/warehouse-locator/v1/salesLocations.json","2026-07-31T21:17:08.8106785Z"
