"retailer","store_id","location_name","status","is_test_location","address","city","county","state","state_code","postal_code","country","country_code","latitude","longitude","phone","store_format","total_building_area","merchandise_level","time_zone","google_maps_url","drive_up_latitude","drive_up_longitude","drive_up_radius","capabilities","capability_names","store_url","source","retrieved_at_utc"
"Target","3","Crystal","Open","False","5537 W Broadway Ave","Crystal","Hennepin","Minnesota","MN","55428-3507","United States of America","US","45.052732","-93.365555","763-533-2231","Pfresh","143186","1","America/Chicago","https://maps.google.com/maps?cid=3989297578078319655","45.052636","-93.36533","47","Cafe-Pizza | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Starbucks | Store Pickup | WIC","Accepts WIC | AT&T Cell Phone Activations | Caf̩-Pizza | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target","https://www.target.com/sl/crystal/3","Target Redsky store_location_v1","2026-07-31T18:32:03Z"
"Target","4","Duluth","Open","False","1902 Miller Trunk Hwy","Duluth","St. Louis","Minnesota","MN","55811-1810","United States of America","US","46.808391","-92.16745","218-727-8851","Pfresh","155559","1","America/Chicago","https://maps.google.com/maps?cid=17309704771221185075","46.80838","-92.167435","49","Apple | Champion | Converse | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | Kendra Scott | LoveShackFancy | Mobile | Opt | ParkeXTarget | Rosie Assoulin | Shipt Delivery | Snack Bar Pizza | Starbucks | Store Pickup | Ulta | WIC | Wine Beer Spir","Accepts WIC | Apple Experience | AT&T Cell Phone Activations | Champion | Converse | CVS pharmacy | Drive Up | Fresh Grocery | Kendra Scott x Target | Love Shack Fancy X Target | Parke x Target | Rosie Assoulin x Target | Shipt Delivery | Snack Bar - Pizza | Starbucks Cafe | Store Pickup | Target Optical | The Hollister Collection at Target | Ulta Beauty at Target | Wine, Beer & Spirits Available","https://www.target.com/sl/duluth/4","Target Redsky store_location_v1","2026-07-31T18:32:04Z"
"Target","5","Bloomington 79th and Penn","Open","False","2555 W 79th St","Bloomington","Hennepin","Minnesota","MN","55431-1250","United States of America","US","44.860029","-93.311579","952-888-7701","Pfresh","148756","1","America/Chicago","https://maps.google.com/maps?cid=2820580094994725596","44.859999","-93.311424","47","Cafe-Pizza | CVS pharmacy | Drive Up | EV Charging | Eye Exam Warby | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Starbucks | Store Pickup | Ulta | Warby Parker | WIC","Accepts WIC | AT&T Cell Phone Activations | Caf̩-Pizza | CVS pharmacy | Drive Up | EV Charging | Eye exams at Warby Parker | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Ulta Beauty at Target | Warby Parker at Target","https://www.target.com/sl/bloomington-79th-and-penn/5","Target Redsky store_location_v1","2026-07-31T18:32:05Z"
"Target","12","Bridgeton","Open","False","12275 St Charles Rock Rd","Bridgeton","St. Louis","Missouri","MO","63044-2502","United States of America","US","38.754066","-90.426423","314-291-0600","Pfresh","137995","1","America/Chicago","https://maps.google.com/maps?cid=14903378409644144225","38.753944","-90.426461","46","Champion | Drive Up | EV Charging | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Opt | Shipt Delivery | Starbucks | Store Pickup | Wine Beer Spir","AT&T Cell Phone Activations | Champion | Drive Up | EV Charging | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | Target Optical | The Hollister Collection at Target | Wine, Beer & Spirits Available","https://www.target.com/sl/bridgeton/12","Target Redsky store_location_v1","2026-07-31T18:32:06Z"
"Target","13","North Dallas","Open","False","13131 Montfort Dr","Dallas","Dallas","Texas","TX","75240-5112","United States of America","US","32.92778","-96.813082","972-239-8161","Pfresh","137484","1","America/Chicago","https://maps.google.com/maps?cid=6397618561403248045","32.927826","-96.812949","42","Baby Boutique | Baby Concierge | Bev Bar | Champion | CVS pharmacy | Drive Up | EV Charging | Fresh Grocery | Hollister | KBB by Kahlana | LoveShackFancy | Mobile | Shipt Delivery | Starbucks | Store Pickup | WIC | Wine Beer","Accepts WIC | AT&T Cell Phone Activations | Baby Boutique | Baby Concierge | Beverage Bar | Champion | CVS pharmacy | Drive Up | EV Charging | Fresh Grocery | KBB by Kahlana | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Wine & Beer Available","https://www.target.com/sl/north-dallas/13","Target Redsky store_location_v1","2026-07-31T18:32:07Z"
"Target","19","Tulsa","Open","False","1701 S Yale Ave","Tulsa","Tulsa","Oklahoma","OK","74112-6221","United States of America","US","36.13727","-95.9204","918-744-1701","Pfresh","129628","1","America/Chicago","https://maps.google.com/maps?cid=8459832570376287636","36.137374","-95.920485","40","Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | ParkeXTarget | Rosie Assoulin | Shipt Delivery | Starbucks | Store Pickup | Wine Beer","AT&T Cell Phone Activations | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Parke x Target | Rosie Assoulin x Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Wine & Beer Available","https://www.target.com/sl/tulsa/19","Target Redsky store_location_v1","2026-07-31T18:32:08Z"
"Target","26","Ballwin","Open","False","15025 Manchester Rd","Ballwin","St. Louis","Missouri","MO","63011-4626","United States of America","US","38.594512","-90.547463","636-391-7500","Pfresh","136657","1","America/Chicago","https://maps.google.com/maps?cid=15740997497395751217","38.594457","-90.547431","42","Bev Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Starbucks | Store Pickup | Ulta | Wine Beer Spir","AT&T Cell Phone Activations | Beverage Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Ulta Beauty at Target | Wine, Beer & Spirits Available","https://www.target.com/sl/ballwin/26","Target Redsky store_location_v1","2026-07-31T18:32:09Z"
"Target","43","Oklahoma City North","Open","False","5400 N May Ave","Oklahoma City","Oklahoma","Oklahoma","OK","73112-5407","United States of America","US","35.52441","-97.5644","405-947-6761","Pfresh","142546","1","America/Chicago","https://maps.google.com/maps?cid=2910655809807328334","35.524538","-97.56446","44","Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | KBB by Kahlana | Kendra Scott | LoveShackFancy | Mobile | ParkeXTarget | Roblox Exp | Rosie Assoulin | Shipt Delivery | Snack Bar Pizza | Starbucks | Store Pickup","AT&T Cell Phone Activations | Champion | CVS pharmacy | Drive Up | Fresh Grocery | KBB by Kahlana | Kendra Scott x Target | Love Shack Fancy X Target | Parke x Target | Roblox Experience | Rosie Assoulin x Target | Shipt Delivery | Snack Bar - Pizza | Starbucks Cafe | Store Pickup | The Hollister Collection at Target","https://www.target.com/sl/oklahoma-city-north/43","Target Redsky store_location_v1","2026-07-31T18:32:10Z"
"Target","48","Arvada","Open","False","7899 Wadsworth Blvd","Arvada","Jefferson","Colorado","CO","80003-2107","United States of America","US","39.840209","-105.085028","303-425-0124","Pfresh","128392","1","America/Denver","https://maps.google.com/maps?cid=1436454023183114755","39.84013","-105.085026","45","Bev Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Shipt Delivery | Starbucks | Store Pickup | Wine Beer","AT&T Cell Phone Activations | Beverage Bar | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Shipt Delivery | Starbucks Cafe | Store Pickup | The Hollister Collection at Target | Wine & Beer Available","https://www.target.com/sl/arvada/48","Target Redsky store_location_v1","2026-07-31T18:32:10Z"
"Target","52","East Lake Street and Hwy 55","Open","False","2500 E Lake St","Minneapolis","Hennepin","Minnesota","MN","55406-1909","United States of America","US","44.949951","-93.236742","612-721-5701","Pfresh","127231","1","America/Chicago","https://maps.google.com/maps?cid=5136043804642336435","44.9495028","-93.2365694","83","Champion | CVS pharmacy | Drive Up | Fresh Grocery | Hollister | LoveShackFancy | Mobile | Roblox Exp | Shipt Delivery | Snack Bar Pizza | Starbucks | Store Pickup | WIC","Accepts WIC | AT&T Cell Phone Activations | Champion | CVS pharmacy | Drive Up | Fresh Grocery | Love Shack Fancy X Target | Roblox Experience | Shipt Delivery | Snack Bar - Pizza | Starbucks Cafe | Store Pickup | The Hollister Collection at Target","https://www.target.com/sl/east-lake-street-and-hwy-55/52","Target Redsky store_location_v1","2026-07-31T18:32:11Z"
