"retailer","store_id","store_name","address","city","state","zip_code","country","latitude","longitude","phone","website","opening_status","coming_soon","opening_date","wine","beer","liquor","source","source_query"
"Trader Joe's","737","Traderjoes","205 Summit Blvd, Suite 100","Birmingham","AL","35243","US","33.44651","-86.72929","205-969-7802","https://locations.traderjoes.com/al/birmingham/737/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/al/birmingham/737/"
"Trader Joe's","838","Traderjoes","1769 Montgomery Hwy","Hoover","AL","35244","US","33.3783","-86.80402","205-202-7715","https://locations.traderjoes.com/al/hoover/838/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/al/hoover/838/"
"Trader Joe's","785","Traderjoes","1100 Mid City Dr NW","Huntsville","AL","35806","US","34.74014","-86.66557","256-890-7156","https://locations.traderjoes.com/al/huntsville/785/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/al/huntsville/785/"
"Trader Joe's","756","Traderjoes","11500 Financial Centre Pky","Little Rock","AR","72211","US","34.74829","-92.40185","501-954-7659","https://locations.traderjoes.com/ar/little-rock/756/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ar/little-rock/756/"
"Trader Joe's","287","Traderjoes","3961 S Arizona Ave","Chandler","AZ","85248","US","33.24914","-111.83819","520-453-3452","https://locations.traderjoes.com/az/chandler/287/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/chandler/287/"
"Trader Joe's","285","Traderjoes","1779 E. Williams Field Rd.","Gilbert","AZ","85295","US","33.30605","-111.75164","480-857-9878","https://locations.traderjoes.com/az/gilbert/285/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/gilbert/285/"
"Trader Joe's","85","Traderjoes","8078 W Bell Rd","Glendale","AZ","85308","US","33.64006","-112.23115","928-397-9921","https://locations.traderjoes.com/az/glendale/85/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/glendale/85/"
"Trader Joe's","289","Traderjoes","N Bullard Ave & McDowell Rd","Goodyear","AZ","85395","US","33.46454","-112.37541","480-712-6645","https://locations.traderjoes.com/az/goodyear/289/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/goodyear/289/"
"Trader Joe's","89","Traderjoes","2050 E Baseline Rd","Mesa","AZ","85204","US","33.38097","-111.78708","480-632-0951","https://locations.traderjoes.com/az/mesa/89/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/mesa/89/"
"Trader Joe's","96","Traderjoes","7912 N Oracle","Oro Valley","AZ","85704","US","32.35051","-110.97318","520-797-4207","https://locations.traderjoes.com/az/oro-valley/96/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/oro-valley/96/"
"Trader Joe's","177","Traderjoes","4025 E Chandler Blvd, Ste 38","Phoenix","AZ","85048","US","33.30313","-111.99487","480-759-2293","https://locations.traderjoes.com/az/phoenix/177/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/phoenix/177/"
"Trader Joe's","282","Traderjoes","4726 East Shea Blvd","Phoenix","AZ","85028","US","33.58331","-111.97903","602-485-7788","https://locations.traderjoes.com/az/phoenix/282/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/phoenix/282/"
"Trader Joe's","320","Traderjoes","21001 North Tatum Blvd, Suite #1030","Phoenix","AZ","85054","US","33.67664","-111.97461","","https://locations.traderjoes.com/az/phoenix/320/","coming_soon","true","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/phoenix/320/"
"Trader Joe's","90","Traderjoes","4821 N 20th St","Phoenix","AZ","85016","US","33.50712","-112.03781","602-912-9022","https://locations.traderjoes.com/az/phoenix/90/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/phoenix/90/"
"Trader Joe's","283","Traderjoes","252 N Lee Blvd","Prescott","AZ","86303","US","34.54866","-112.40535","928-443-9075","https://locations.traderjoes.com/az/prescott/283/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/prescott/283/"
"Trader Joe's","286","Traderjoes","21186 S. Ellsworth Loop Rd","Queen Creek","AZ","85142","US","33.25605","-111.64026","480-877-7213","https://locations.traderjoes.com/az/queen-creek/286/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/queen-creek/286/"
"Trader Joe's","87","Traderjoes","7555 E Frank Lloyd Wright","Scottsdale","AZ","85260","US","33.63586","-111.91713","480-367-8920","https://locations.traderjoes.com/az/scottsdale/87/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/scottsdale/87/"
"Trader Joe's","94","Traderjoes","6202 N Scottsdale Rd","Scottsdale","AZ","85253","US","33.52944","-111.92758","480-948-9886","https://locations.traderjoes.com/az/scottsdale/94/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/scottsdale/94/"
"Trader Joe's","92","Traderjoes","14095 W Grand Ave","Surprise","AZ","85374","US","33.65138","-112.3674","623-546-1640","https://locations.traderjoes.com/az/surprise/92/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/surprise/92/"
"Trader Joe's","91","Traderjoes","940 E. University Drive","Tempe","AZ","85281","US","33.42239","-111.92502","480-303-9974","https://locations.traderjoes.com/az/tempe/91/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/tempe/91/"
"Trader Joe's","93","Traderjoes","6460 S McClintock Dr","Tempe","AZ","85283","US","33.36181","-111.91225","480-838-4142","https://locations.traderjoes.com/az/tempe/93/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/tempe/93/"
"Trader Joe's","191","Traderjoes","4209 N Campbell Ave","Tucson","AZ","85719","US","32.2835","-110.9448","520-325-0069","https://locations.traderjoes.com/az/tucson/191/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/tucson/191/"
"Trader Joe's","288","Traderjoes","2150 E Broadway Blvd","Tucson","AZ","85719","US","32.22113","-110.94","520-265-8872","https://locations.traderjoes.com/az/tucson/288/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/tucson/288/"
"Trader Joe's","88","Traderjoes","4766 E Grant Rd","Tucson","AZ","85712","US","32.24978","-110.89094","520-323-4500","https://locations.traderjoes.com/az/tucson/88/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/tucson/88/"
"Trader Joe's","95","Traderjoes","1101 N Wilmot Rd, Ste 147","Tucson","AZ","85712","US","32.23717","-110.85892","520-733-1313","https://locations.traderjoes.com/az/tucson/95/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/az/tucson/95/"
"Trader Joe's","247","Traderjoes","28941 Canwood St","Agoura Hills","CA","91301","US","34.14644","-118.75665","818-865-8217","https://locations.traderjoes.com/ca/agoura-hills/247/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/agoura-hills/247/"
"Trader Joe's","109","Traderjoes","2217 South Shore Ctr","Alameda","CA","94501","US","37.75778","-122.25148","510-769-5450","https://locations.traderjoes.com/ca/alameda/109/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/alameda/109/"
"Trader Joe's","195","Traderjoes","26541 Aliso Creek Rd","Aliso Viejo","CA","92656","US","33.57749","-117.72478","949-643-5531","https://locations.traderjoes.com/ca/aliso-viejo/195/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/aliso-viejo/195/"
"Trader Joe's","295","Traderjoes","6336 E Santa Ana Canyon Rd","Anaheim Hills","CA","92807","US","33.85617","-117.77096","","https://locations.traderjoes.com/ca/anaheim-hills/295/","coming_soon","true","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/anaheim-hills/295/"
"Trader Joe's","117","Traderjoes","955 Rancho Pkwy","Arroyo Grande","CA","93420","US","35.1257","-120.59405","805-474-6114","https://locations.traderjoes.com/ca/arroyo-grande/117/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/arroyo-grande/117/"
"Trader Joe's","14","Traderjoes","8200 Stockdale Hwy","Bakersfield","CA","93311","US","35.35702","-119.09353","661-837-8863","https://locations.traderjoes.com/ca/bakersfield/14/","open","false","","","","","Official Trader Joe's directory","https://locations.traderjoes.com/ca/bakersfield/14/"
